County or equivalent,State or equivalent,Population (2020 census),Area (mi^2),Core-based statistical area
Autauga,Alabama,"58,805",594.44,"Montgomery, AL Metropolitan Statistical Area"
Baldwin,Alabama,"231,767",1589.78,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area"
Barbour,Alabama,"25,223",884.88,"Eufaula, AL-GA Micropolitan Statistical Area"
Bibb,Alabama,"22,293",622.58,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Blount,Alabama,"59,134",644.78,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Bullock,Alabama,"10,357",622.80,
Butler,Alabama,"19,051",776.83,
Calhoun,Alabama,"116,441",605.87,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area"
Chambers,Alabama,"34,772",596.53,"LaGrange, GA-AL Micropolitan Statistical Area"
Cherokee,Alabama,"24,971",553.70,
Chilton,Alabama,"45,014",692.85,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Choctaw,Alabama,"12,665",913.50,
Clarke,Alabama,"23,087",1238.46,
Clay,Alabama,"14,236",603.96,
Cleburne,Alabama,"15,056",560.10,
Coffee,Alabama,"53,465",678.97,"Enterprise, AL Micropolitan Statistical Area"
Colbert,Alabama,"57,227",592.62,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
Conecuh,Alabama,"11,597",850.16,
Coosa,Alabama,"10,387",650.93,"Alexander City, AL Micropolitan Statistical Area"
Covington,Alabama,"37,570",1030.46,
Crenshaw,Alabama,"13,194",608.84,
Cullman,Alabama,"87,866",734.84,"Cullman, AL Micropolitan Statistical Area"
Dale,Alabama,"49,326",561.15,"Ozark, AL Micropolitan Statistical Area"
Dallas,Alabama,"38,462",978.69,"Selma, AL Micropolitan Statistical Area"
DeKalb,Alabama,"71,608",777.09,"Fort Payne, AL Micropolitan Statistical Area"
Elmore,Alabama,"87,977",618.48,"Montgomery, AL Metropolitan Statistical Area"
Escambia,Alabama,"36,757",945.08,
Etowah,Alabama,"103,436",534.99,"Gadsden, AL Metropolitan Statistical Area"
Fayette,Alabama,"16,321",627.66,
Franklin,Alabama,"32,113",633.82,
Geneva,Alabama,"26,659",574.41,"Dothan, AL Metropolitan Statistical Area"
Greene,Alabama,"7,730",647.11,"Tuscaloosa, AL Metropolitan Statistical Area"
Hale,Alabama,"14,785",643.94,"Tuscaloosa, AL Metropolitan Statistical Area"
Henry,Alabama,"17,146",561.75,"Dothan, AL Metropolitan Statistical Area"
Houston,Alabama,"107,202",579.82,"Dothan, AL Metropolitan Statistical Area"
Jackson,Alabama,"52,579",1077.87,"Scottsboro, AL Micropolitan Statistical Area"
Jefferson,Alabama,"674,721",1111.28,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Lamar,Alabama,"13,972",604.85,
Lauderdale,Alabama,"93,564",667.70,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
Lawrence,Alabama,"33,073",690.68,"Decatur, AL Metropolitan Statistical Area"
Lee,Alabama,"174,241",607.54,"Auburn-Opelika, AL Metropolitan Statistical Area"
Limestone,Alabama,"103,570",559.94,"Huntsville, AL Metropolitan Statistical Area"
Lowndes,Alabama,"10,311",715.91,"Montgomery, AL Metropolitan Statistical Area"
Macon,Alabama,"19,532",608.89,
Madison,Alabama,"388,153",801.59,"Huntsville, AL Metropolitan Statistical Area"
Marengo,Alabama,"19,323",976.88,
Marion,Alabama,"29,341",742.29,
Marshall,Alabama,"97,612",565.84,"Albertville, AL Micropolitan Statistical Area"
Mobile,Alabama,"414,809",1229.44,"Mobile, AL Metropolitan Statistical Area"
Monroe,Alabama,"19,772",1025.67,
Montgomery,Alabama,"228,954",784.25,"Montgomery, AL Metropolitan Statistical Area"
Morgan,Alabama,"123,421",579.34,"Decatur, AL Metropolitan Statistical Area"
Perry,Alabama,"8,511",719.66,
Pickens,Alabama,"19,123",881.41,"Tuscaloosa, AL Metropolitan Statistical Area"
Pike,Alabama,"33,009",672.09,"Troy, AL Micropolitan Statistical Area"
Randolph,Alabama,"21,967",580.55,
Russell,Alabama,"59,183",641.14,"Columbus, GA-AL Metropolitan Statistical Area"
St. Clair,Alabama,"91,103",631.90,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Shelby,Alabama,"223,024",784.93,"Birmingham-Hoover, AL Metropolitan Statistical Area"
Sumter,Alabama,"12,345",903.89,
Talladega,Alabama,"82,149",736.78,"Talladega-Sylacauga, AL Micropolitan Statistical Area"
Tallapoosa,Alabama,"41,311",716.52,"Alexander City, AL Micropolitan Statistical Area"
Tuscaloosa,Alabama,"227,036",1321.75,"Tuscaloosa, AL Metropolitan Statistical Area"
Walker,Alabama,"65,342",791.19,"Jasper, AL Micropolitan Statistical Area"
Washington,Alabama,"15,388",1080.21,"Mobile, AL Metropolitan Statistical Area"
Wilcox,Alabama,"10,600",888.50,
Winston,Alabama,"23,540",612.98,
Aleutians East Borough,Alaska,"3,420",6985,
Aleutians West Census Area,Alaska,"5,232",4393,
"Anchorage, Municipality of",Alaska,"291,247",1707,"Anchorage, AK Metropolitan Statistical Area"
Bethel Census Area,Alaska,"18,666",40627,
Bristol Bay Borough,Alaska,844,482,
Chugach Census Area,Alaska,"7,102",9530,
Copper River Census Area,Alaska,"2,617",24692,
Denali Borough,Alaska,"1,619",12641,
Dillingham Census Area,Alaska,"4,857",18334,
Fairbanks North Star Borough,Alaska,"95,655",7335,"Fairbanks, AK Metropolitan Statistical Area"
Haines Borough,Alaska,"2,080",2343,
Hoonah–Angoon Census Area,Alaska,"2,365",6555,
"Juneau, City and Borough of",Alaska,"32,255",2704,"Juneau, AK Micropolitan Statistical Area"
Kenai Peninsula Borough,Alaska,"58,799",16017,
Ketchikan Gateway Borough,Alaska,"13,948",4857,"Ketchikan, AK Micropolitan Statistical Area"
Kodiak Island Borough,Alaska,"13,101",6689,
Kusilvak Census Area,Alaska,"8,368",17077,
Lake and Peninsula Borough,Alaska,"1,476",23832,
Matanuska-Susitna Borough,Alaska,"107,081",24707,"Anchorage, AK Metropolitan Statistical Area"
Nome Census Area,Alaska,"10,046",22969,
North Slope Borough,Alaska,"11,031",88824,
Northwest Arctic Borough,Alaska,"7,793",35663,
Petersburg Borough,Alaska,"3,398",2901,
Prince of Wales – Hyder Census Area,Alaska,"5,753",5268,
"Sitka, City and Borough of",Alaska,"8,458",2870,
"Skagway, Municipality of",Alaska,"1,240",434,
Southeast Fairbanks Census Area,Alaska,"6,808",24831,
"Wrangell, City and Borough of",Alaska,"2,127",2556,
"Yakutat, City and Borough of",Alaska,662,7623,
Yukon–Koyukuk Census Area,Alaska,"5,343",145576,
Eastern District,American Samoa,"17,059",25.69,
Manu'a District,American Samoa,832,22.29,
Rose Atoll (Rose Island),American Samoa,0,0.02,
Swains Island,American Samoa,0,0.94,
Western District,American Samoa,"31,819",27.51,
Apache,Arizona,"66,021",11218,
Cochise,Arizona,"125,447",6219,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area"
Coconino,Arizona,"145,101",18661,"Flagstaff, AZ Metropolitan Statistical Area"
Gila,Arizona,"53,272",4796,"Payson, AZ Micropolitan Statistical Area"
Graham,Arizona,"38,533",4641,"Safford, AZ Micropolitan Statistical Area"
Greenlee,Arizona,"9,563",1848,
La Paz,Arizona,"16,557",4513,
Maricopa,Arizona,"4,420,568",9224,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
Mohave,Arizona,"213,267",13470,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area"
Navajo,Arizona,"106,717",9959,"Show Low, AZ Micropolitan Statistical Area"
Pima,Arizona,"1,043,433",9189,"Tucson, AZ Metropolitan Statistical Area"
Pinal,Arizona,"425,264",5374,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
Santa Cruz,Arizona,"47,669",1238,"Nogales, AZ Micropolitan Statistical Area"
Yavapai,Arizona,"236,209",8128,"Prescott, AZ Metropolitan Statistical Area"
Yuma,Arizona,"203,881",5519,"Yuma, AZ Metropolitan Statistical Area"
Arkansas,Arkansas,"17,149",1033.79,
Ashley,Arkansas,"19,062",939.08,
Baxter,Arkansas,"41,627",586.74,"Mountain Home, AR Micropolitan Statistical Area"
Benton,Arkansas,"284,333",884.86,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
Boone,Arkansas,"37,373",601.82,"Harrison, AR Micropolitan Statistical Area"
Bradley,Arkansas,"10,545",654.38,
Calhoun,Arkansas,"4,739",632.54,"Camden, AR Micropolitan Statistical Area"
Carroll,Arkansas,"28,260",638.81,
Chicot,Arkansas,"10,208",690.88,
Clark,Arkansas,"21,446",882.60,"Arkadelphia, AR Micropolitan Statistical Area"
Clay,Arkansas,"14,552",641.12,
Cleburne,Arkansas,"24,711",591.91,
Cleveland,Arkansas,"7,550",598.80,"Pine Bluff, AR Metropolitan Statistical Area"
Columbia,Arkansas,"22,801",766.86,"Magnolia, AR Micropolitan Statistical Area"
Conway,Arkansas,"20,715",566.66,
Craighead,Arkansas,"111,231",712.98,"Jonesboro, AR Metropolitan Statistical Area"
Crawford,Arkansas,"60,133",604.20,"Fort Smith, AR-OK Metropolitan Statistical Area"
Crittenden,Arkansas,"48,163",636.74,"Memphis, TN-MS-AR Metropolitan Statistical Area"
Cross,Arkansas,"16,833",622.33,
Dallas,Arkansas,"6,482",668.16,
Desha,Arkansas,"11,395",819.52,
Drew,Arkansas,"17,350",835.65,
Faulkner,Arkansas,"123,498",664.01,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Franklin,Arkansas,"17,097",619.69,"Fort Smith, AR-OK Metropolitan Statistical Area"
Fulton,Arkansas,"12,075",620.32,
Garland,Arkansas,"100,180",734.57,"Hot Springs, AR Metropolitan Statistical Area"
Grant,Arkansas,"17,958",633.01,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Greene,Arkansas,"45,736",579.65,"Paragould, AR Micropolitan Statistical Area"
Hempstead,Arkansas,"20,065",741.36,"Hope, AR Micropolitan Statistical Area"
Hot Spring,Arkansas,"33,040",622.16,"Malvern, AR Micropolitan Statistical Area"
Howard,Arkansas,"12,785",595.20,
Independence,Arkansas,"37,938",771.57,"Batesville, AR Micropolitan Statistical Area"
Izard,Arkansas,"13,577",584.02,
Jackson,Arkansas,"16,755",641.45,
Jefferson,Arkansas,"67,260",913.70,"Pine Bluff, AR Metropolitan Statistical Area"
Johnson,Arkansas,"25,749",682.74,
Lafayette,Arkansas,"6,308",545.07,
Lawrence,Arkansas,"16,216",592.34,
Lee,Arkansas,"8,600",619.47,
Lincoln,Arkansas,"12,941",572.17,"Pine Bluff, AR Metropolitan Statistical Area"
Little River,Arkansas,"12,026",564.87,"Texarkana, TX-AR Metropolitan Statistical Area"
Logan,Arkansas,"21,131",731.50,
Lonoke,Arkansas,"74,015",802.43,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Madison,Arkansas,"16,521",837.06,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
Marion,Arkansas,"16,826",640.39,
Miller,Arkansas,"42,600",637.48,"Texarkana, TX-AR Metropolitan Statistical Area"
Mississippi,Arkansas,"40,685",919.73,"Blytheville, AR Micropolitan Statistical Area"
Monroe,Arkansas,"6,799",621.41,
Montgomery,Arkansas,"8,484",800.29,
Nevada,Arkansas,"8,310",620.78,"Hope, AR Micropolitan Statistical Area"
Newton,Arkansas,"7,225",823.18,"Harrison, AR Micropolitan Statistical Area"
Ouachita,Arkansas,"22,650",739.63,"Camden, AR Micropolitan Statistical Area"
Perry,Arkansas,"10,019",560.47,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Phillips,Arkansas,"16,568",727.29,"Helena-West Helena, AR Micropolitan Statistical Area"
Pike,Arkansas,"10,171",613.88,
Poinsett,Arkansas,"22,965",763.39,"Jonesboro, AR Metropolitan Statistical Area"
Polk,Arkansas,"19,221",862.42,
Pope,Arkansas,"63,381",830.79,"Russellville, AR Micropolitan Statistical Area"
Prairie,Arkansas,"8,282",675.76,
Pulaski,Arkansas,"399,125",807.84,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Randolph,Arkansas,"18,571",656.04,
St. Francis,Arkansas,"23,090",642.40,"Forrest City, AR Micropolitan Statistical Area"
Saline,Arkansas,"123,416",730.46,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Scott,Arkansas,"9,836",898.09,
Searcy,Arkansas,"7,828",668.51,
Sebastian,Arkansas,"127,799",546.04,"Fort Smith, AR-OK Metropolitan Statistical Area"
Sevier,Arkansas,"15,839",581.35,
Sharp,Arkansas,"17,271",606.35,"Batesville, AR Micropolitan Statistical Area"
Stone,Arkansas,"12,359",609.43,
Union,Arkansas,"39,054",1055.27,"El Dorado, AR Micropolitan Statistical Area"
Van Buren,Arkansas,"15,796",724.32,
Washington,Arkansas,"245,871",951.72,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
White,Arkansas,"76,822",1042.36,"Searcy, AR Micropolitan Statistical Area"
Woodruff,Arkansas,"6,269",594.05,
Yell,Arkansas,"20,263",948.84,"Russellville, AR Micropolitan Statistical Area"
Alameda,California,"1,682,353",738,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Alpine,California,"1,204",739,
Amador,California,"40,474",606,
Butte,California,"211,632",1640,"Chico, CA Metropolitan Statistical Area"
Calaveras,California,"45,292",1020,
Colusa,California,"21,839",1151,
Contra Costa,California,"1,165,927",720,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Del Norte,California,"27,743",1008,"Crescent City, CA Micropolitan Statistical Area"
El Dorado,California,"191,185",1712,"Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Fresno,California,"1,008,654",5963,"Fresno, CA Metropolitan Statistical Area"
Glenn,California,"28,917",1315,
Humboldt,California,"136,463",3573,"Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area"
Imperial,California,"179,702",4175,"El Centro, CA Metropolitan Statistical Area"
Inyo,California,"19,016",10192,
Kern,California,"909,235",8142,"Bakersfield, CA Metropolitan Statistical Area"
Kings,California,"152,486",1390,"Hanford-Corcoran, CA Metropolitan Statistical Area"
Lake,California,"68,163",1258,"Clearlake, CA Micropolitan Statistical Area"
Lassen,California,"32,730",4558,"Susanville, CA Micropolitan Statistical Area"
Los Angeles,California,"10,014,009",4060,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
Madera,California,"156,255",2138,"Madera, CA Metropolitan Statistical Area"
Marin,California,"262,321",520,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Mariposa,California,"17,131",1451,
Mendocino,California,"91,601",3509,"Ukiah, CA Micropolitan Statistical Area"
Merced,California,"281,202",1929,"Merced, CA Metropolitan Statistical Area"
Modoc,California,"8,700",3944,
Mono,California,"13,195",3044,
Monterey,California,"439,035",3322,"Salinas, CA Metropolitan Statistical Area"
Napa,California,"138,019",754,"Napa, CA Metropolitan Statistical Area"
Nevada,California,"102,241",958,"Truckee-Grass Valley, CA Micropolitan Statistical Area"
Orange,California,"3,186,989",948,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
Placer,California,"404,739",1407,"Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Plumas,California,"19,790",2554,
Riverside,California,"2,418,185",7208,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
Sacramento,California,"1,585,055",966,"Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
San Benito,California,"64,209",1389,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
San Bernardino,California,"2,181,654",20062,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
San Diego,California,"3,298,634",4204,"San Diego-Carlsbad, CA Metropolitan Statistical Area"
"San Francisco, City and County of",California,"873,965",47,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
San Joaquin,California,"779,233",1399,"Stockton-Lodi, CA Metropolitan Statistical Area"
San Luis Obispo,California,"282,424",3304,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area"
San Mateo,California,"764,442",449,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Santa Barbara,California,"448,229",2738,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area"
Santa Clara,California,"1,936,259",1291,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
Santa Cruz,California,"270,861",446,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area"
Shasta,California,"182,155",3786,"Redding, CA Metropolitan Statistical Area"
Sierra,California,"3,236",953,
Siskiyou,California,"44,076",6287,
Solano,California,"453,491",828,"Vallejo-Fairfield, CA Metropolitan Statistical Area"
Sonoma,California,"488,863",1576,"Santa Rosa, CA Metropolitan Statistical Area"
Stanislaus,California,"552,878",1495,"Modesto, CA Metropolitan Statistical Area"
Sutter,California,"99,633",603,"Yuba City, CA Metropolitan Statistical Area"
Tehama,California,"65,829",2951,"Red Bluff, CA Micropolitan Statistical Area"
Trinity,California,"16,112",3179,
Tulare,California,"473,117",4824,"Visalia-Porterville, CA Metropolitan Statistical Area"
Tuolumne,California,"55,620",2236,"Sonora, CA Micropolitan Statistical Area"
Ventura,California,"843,843",1846,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area"
Yolo,California,"216,403",1012,"Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Yuba,California,"81,575",630,"Yuba City, CA Metropolitan Statistical Area"
Adams,Colorado,"519,572",1182.29,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Alamosa,Colorado,"16,376",723.21,
Arapahoe,Colorado,"655,070",804.41,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Archuleta,Colorado,"13,359",1354.53,
Baca,Colorado,"3,506",2558.48,
Bent,Colorado,"5,650",1541.07,
Boulder,Colorado,"330,758",740.48,"Boulder, CO Metropolitan Statistical Area"
"Broomfield, City and County of",Colorado,"74,112",33.57,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Chaffee,Colorado,"19,476",1014.12,
Cheyenne,Colorado,"1,748",1781.90,
Clear Creek,Colorado,"9,397",396.53,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Conejos,Colorado,"7,461",1290.22,
Costilla,Colorado,"3,499",1229.38,
Crowley,Colorado,"5,922",800.27,
Custer,Colorado,"4,704",739.24,
Delta,Colorado,"31,196",1149.44,
"Denver, City and County of",Colorado,"715,522",155.66,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Dolores,Colorado,"2,326",1076.93,
Douglas,Colorado,"357,978",842.30,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Eagle,Colorado,"55,731",1700.76,"Edwards, CO Micropolitan Statistical Area"
El Paso,Colorado,"730,395",2128.60,"Colorado Springs, CO Metropolitan Statistical Area"
Elbert,Colorado,"26,062",1849.08,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Fremont,Colorado,"48,939",1533.09,"Cañon City, CO Micropolitan Statistical Area"
Garfield,Colorado,"61,685",2958.23,"Glenwood Springs, CO Micropolitan Statistical Area"
Gilpin,Colorado,"5,808",150.15,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Grand,Colorado,"15,717",1868.53,
Gunnison,Colorado,"16,918",3259.22,
Hinsdale,Colorado,788,1123.35,
Huerfano,Colorado,"6,820",1592.37,
Jackson,Colorado,"1,379",1619.75,
Jefferson,Colorado,"582,910",772.85,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Kiowa,Colorado,"1,446",1785.90,
Kit Carson,Colorado,"7,087",2162.43,
La Plata,Colorado,"55,638",1700.44,"Durango, CO Micropolitan Statistical Area"
Lake,Colorado,"7,436",383.55,
Larimer,Colorado,"359,066",2631.75,"Fort Collins, CO Metropolitan Statistical Area"
Las Animas,Colorado,"14,555",4773.27,
Lincoln,Colorado,"5,675",2585.21,
Logan,Colorado,"21,528",1845.31,"Sterling, CO Micropolitan Statistical Area"
Mesa,Colorado,"155,703",3345.69,"Grand Junction, CO Metropolitan Statistical Area"
Mineral,Colorado,865,878.16,
Moffat,Colorado,"13,292",4755.86,"Craig, CO Micropolitan Statistical Area"
Montezuma,Colorado,"25,849",2035.80,
Montrose,Colorado,"42,679",2246.43,"Montrose, CO Micropolitan Statistical Area"
Morgan,Colorado,"29,111",1293.83,"Fort Morgan, CO Micropolitan Statistical Area"
Otero,Colorado,"18,690",1267.66,
Ouray,Colorado,"4,874",542.30,
Park,Colorado,"17,390",2209.36,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Phillips,Colorado,"4,530",668.30,
Pitkin,Colorado,"17,358",970.37,"Glenwood Springs, CO Micropolitan Statistical Area"
Prowers,Colorado,"11,999",1645.37,
Pueblo,Colorado,"168,162",2396.77,"Pueblo, CO Metropolitan Statistical Area"
Rio Blanco,Colorado,"6,529",3226.24,
Rio Grande,Colorado,"11,539",913.10,
Routt,Colorado,"24,829",2362.11,"Steamboat Springs, CO Micropolitan Statistical Area"
Saguache,Colorado,"6,368",3168.32,
San Juan,Colorado,705,388.99,
San Miguel,Colorado,"8,072",1290.76,
Sedgwick,Colorado,"2,404",548.83,
Summit,Colorado,"31,055",618.92,"Breckenridge, CO Micropolitan Statistical Area"
Teller,Colorado,"24,710",558.58,"Colorado Springs, CO Metropolitan Statistical Area"
Washington,Colorado,"4,817",2522.90,
Weld,Colorado,"328,981",4013.84,"Greeley, CO Metropolitan Statistical Area"
Yuma,Colorado,"9,988",2369.61,
Capitol Planning Region,Connecticut,"976,248",1046.08,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area"
Greater Bridgeport Planning Region,Connecticut,"325,778",149.08,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area"
Lower Connecticut River Valley Planning Region,Connecticut,"174,225",461.57,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area"
Naugatuck Valley Planning Region,Connecticut,"450,376",421.84,"Waterbury-Shelton, CT Metropolitan Statistical Area"
Northeastern Connecticut Planning Region,Connecticut,"95,348",563.2,"Putnam, CT Micropolitan Statistical Area"
Northwest Hills Planning Region,Connecticut,"112,503",808.27,"Torrington, CT Micropolitan Statistical Area"
South Central Connecticut Planning Region,Connecticut,"570,487",387.04,"New Haven-Milford, CT Metropolitan Statistical Area"
Southeastern Connecticut Planning Region,Connecticut,"280,430",662.64,"Norwich-New London, CT Metropolitan Statistical Area"
Western Connecticut Planning Region,Connecticut,"620,549",618.71,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area"
Kent,Delaware,"181,851",800,"Dover, DE Metropolitan Statistical Area"
New Castle,Delaware,"570,719",494,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Sussex,Delaware,"237,378",1196,"Salisbury, MD-DE Metropolitan Statistical Area"
District of Columbia,District of Columbia,"689,545",68.34,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Alachua,Florida,"278,468",874,"Gainesville, FL Metropolitan Statistical Area"
Baker,Florida,"28,259",585,"Jacksonville, FL Metropolitan Statistical Area"
Bay,Florida,"175,216",764,"Panama City, FL Metropolitan Statistical Area"
Bradford,Florida,"28,203",293,
Brevard,Florida,"606,612",1018,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area"
Broward,Florida,"1,944,375",1209,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Calhoun,Florida,"13,648",567,
Charlotte,Florida,"186,847",694,"Punta Gorda, FL Metropolitan Statistical Area"
Citrus,Florida,"153,843",584,"Homosassa Springs, FL Metropolitan Statistical Area"
Clay,Florida,"218,245",601,"Jacksonville, FL Metropolitan Statistical Area"
Collier,Florida,"375,752",2026,"Naples-Marco Island, FL Metropolitan Statistical Area"
Columbia,Florida,"69,698",797,"Lake City, FL Micropolitan Statistical Area"
DeSoto,Florida,"33,976",637,"Arcadia, FL Micropolitan Statistical Area"
Dixie,Florida,"16,759",704,
Duval,Florida,"995,567",774,"Jacksonville, FL Metropolitan Statistical Area"
Escambia,Florida,"321,905",664,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area"
Flagler,Florida,"115,378",485,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area"
Franklin,Florida,"12,451",534,
Gadsden,Florida,"43,826",516,"Tallahassee, FL Metropolitan Statistical Area"
Gilchrist,Florida,"17,864",349,"Gainesville, FL Metropolitan Statistical Area"
Glades,Florida,"12,126",774,
Gulf,Florida,"14,192",565,
Hamilton,Florida,"14,004",515,
Hardee,Florida,"25,327",637,"Wauchula, FL Micropolitan Statistical Area"
Hendry,Florida,"39,619",1153,"Clewiston, FL Micropolitan Statistical Area"
Hernando,Florida,"194,515",478,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Highlands,Florida,"101,235",1028,"Sebring, FL Metropolitan Statistical Area"
Hillsborough,Florida,"1,459,762",1051,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Holmes,Florida,"19,653",482,
Indian River,Florida,"159,788",503,"Sebastian-Vero Beach, FL Metropolitan Statistical Area"
Jackson,Florida,"47,319",916,
Jefferson,Florida,"14,510",598,"Tallahassee, FL Metropolitan Statistical Area"
Lafayette,Florida,"8,226",543,
Lake,Florida,"383,956",953,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Lee,Florida,"760,822",804,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area"
Leon,Florida,"292,198",667,"Tallahassee, FL Metropolitan Statistical Area"
Levy,Florida,"42,915",1118,"Gainesville, FL Metropolitan Statistical Area"
Liberty,Florida,"7,974",836,
Madison,Florida,"17,968",692,
Manatee,Florida,"399,710",741,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area"
Marion,Florida,"375,908",1579,"Ocala, FL Metropolitan Statistical Area"
Martin,Florida,"158,431",556,"Port St. Lucie, FL Metropolitan Statistical Area"
Miami-Dade,Florida,"2,701,767",1946,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Monroe,Florida,"82,874",997,"Key West, FL Micropolitan Statistical Area"
Nassau,Florida,"90,352",652,"Jacksonville, FL Metropolitan Statistical Area"
Okaloosa,Florida,"211,668",936,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
Okeechobee,Florida,"39,644",774,"Okeechobee, FL Micropolitan Statistical Area"
Orange,Florida,"1,429,908",908,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Osceola,Florida,"388,656",1322,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Palm Beach,Florida,"1,492,191",2034,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Pasco,Florida,"561,891",745,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Pinellas,Florida,"959,107",280,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Polk,Florida,"725,046",1875,"Lakeland-Winter Haven, FL Metropolitan Statistical Area"
Putnam,Florida,"73,321",722,"Palatka, FL Micropolitan Statistical Area"
St. Johns,Florida,"273,425",609,"Jacksonville, FL Metropolitan Statistical Area"
St. Lucie,Florida,"329,226",572,"Port St. Lucie, FL Metropolitan Statistical Area"
Santa Rosa,Florida,"188,000",1016,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area"
Sarasota,Florida,"434,006",572,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area"
Seminole,Florida,"470,856",308,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Sumter,Florida,"129,752",546,"The Villages, FL Metropolitan Statistical Area"
